asset,artifact_class,intended_use,status,created_location,install_step,local_verification,preview_external_verification,not_created_dependencies,sha256
00_README_FIRST_v7.md,Package asset,Local setup/evaluation,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/00_README_FIRST_v7.md,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,a4e1ee6bbe4d3842a33260f32d56e6c2eb8098f2301d25f09e116f040f62bdaf
01_RUNTIME_INSTRUCTIONS_v7.txt,Package asset,Local setup/evaluation,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/01_RUNTIME_INSTRUCTIONS_v7.txt,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,a5aa13b567d1ecba972906e3634583a13e2147f16c8ee5faa93a4020c7be2f79
02_GOVERNANCE_AND_BASELINE_v7.md,Knowledge,Upload to GPT Knowledge,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/02_GOVERNANCE_AND_BASELINE_v7.md,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,67046e225935a129eaefc614f287a3d4c1c78af4a546eea084016eec7ca118e0
03_BUILD_ROUTER_AND_OWNER_DISCOVERY_v7.md,Knowledge,Upload to GPT Knowledge,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/03_BUILD_ROUTER_AND_OWNER_DISCOVERY_v7.md,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,27bafa36433663bde4f136ff54b41c05a8fd55cd564a8eb0e1f7b950875dcd40
04_RESEARCH_AND_EVIDENCE_OS_v7.md,Knowledge,Upload to GPT Knowledge,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/04_RESEARCH_AND_EVIDENCE_OS_v7.md,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,23eeeca66fb4196493d55b173a796dee3fc64a16d4773fb00401c13b016b1809
05_DOMAIN_AND_AGENT_PATTERNS_v7.md,Knowledge,Upload to GPT Knowledge,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/05_DOMAIN_AND_AGENT_PATTERNS_v7.md,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,eb97cda6b878364f036145ca4fefb35a163691abb83c8f674b4fae75fc5c7e33
06_COMPILER_AND_PACKAGE_CONTRACT_v7.md,Knowledge,Upload to GPT Knowledge,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/06_COMPILER_AND_PACKAGE_CONTRACT_v7.md,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,8461f50a5e34080ca938def99901ca0584d7d10f6720d4cbf0b47c47d586f1d0
07_EVALUATION_AND_REGRESSION_SYSTEM_v7.md,Knowledge,Upload to GPT Knowledge,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/07_EVALUATION_AND_REGRESSION_SYSTEM_v7.md,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,3f7942c608c5dc2509c052c96ec43cbe67540a887b316b45f77ce6fb71888382
08_SETTINGS_AND_INSTALL_GUIDE_v7.md,Package asset,Local setup/evaluation,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/08_SETTINGS_AND_INSTALL_GUIDE_v7.md,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,4a060957ca0e33c667e69506307de90f08c08cb794e55411f26e6ffd8f5d4b37
09_SCIENTIFIC_RESEARCH_REPORT_v7.md,Package asset,Local setup/evaluation,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/09_SCIENTIFIC_RESEARCH_REPORT_v7.md,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,031bfafb0b325efb3aa39b4fc9076a851786134f4034d8365e0b5e349c7904fb
09B_RESEARCH_SOURCE_REGISTRY_v7.csv,Package asset,Local setup/evaluation,CREATED - LOCAL STRUCTURAL VALIDATION PASSED,/mnt/data/Adaptive_MyGPT_Builder_v7_RC1/09B_RESEARCH_SOURCE_REGISTRY_v7.csv,See 00_README_FIRST_v7.md,File exists; hash recorded; package validator passed,NOT RUN,Custom GPT Preview raw outputs and owner approval,45f58dbb65467a785e7ce09091357077578aa0e612621dc6495ad441b16b146f
