source_id,source_class,author_org,title,date,finding_used,v7_design_implication,limitation,url
S01,Official platform documentation,OpenAI,Creating and editing GPTs,2026-07,Instructions/Knowledge separation; trigger-action guidance; Preview; capabilities; Apps vs Actions,"Runtime/Knowledge split, installation, capability matrix",Platform behavior can change,https://help.openai.com/en/articles/8554397-creating-a-gpt
S02,Official platform documentation,OpenAI,GPTs in ChatGPT,2026-07,GPTs start fresh; recommended model can be switched/replaced; GPT vs API boundary,No memory/persistence claims; model-change tests; Integrated Agent boundary,Plan/workspace availability varies,https://help.openai.com/en/articles/8554407-gpts-in-chatgpt
S03,Official platform documentation,OpenAI,Configuring actions in GPTs,2026-07,"Actions require API details, auth, schema; Apps and Actions mutually exclusive",Separate agent integration architecture and auth design,External API implementation still required,https://help.openai.com/en/articles/9442513
S04,Official platform documentation,OpenAI,Apps in ChatGPT,2026-07,"Apps can search, sync, and sometimes write; confirmation and admin controls apply",Treat app capabilities as explicit and permissioned,Availability varies by plan/workspace/app,https://help.openai.com/en/articles/11487775-connectors-in
S05,Official model guidance,OpenAI,GPT-5.6 model guidance,2026-07,"Leaner prompts, representative evals, explicit autonomy boundaries, task-specific tool routing",Runtime reduction; approval policy stated once; evaluation-first migration,API guidance is directional for Custom GPTs,https://developers.openai.com/api/docs/guides/latest-model
S06,Official evaluation guidance,OpenAI,How evals drive the next chapter in AI for businesses,2025-11,Specify-measure-improve; golden sets; review real outputs; error taxonomy; data flywheel,"Executable registry, real prompts, raw output review","Business primer, not a controlled experiment",https://openai.com/index/evals-drive-next-chapter-of-ai/
S07,Official research,OpenAI,Predicting model behavior before release by simulating deployment,2026-06,Deployment-like prompts improve estimates and expose failures missed by narrow tests,Anonymized real prompt suite and ordinary cases,Requires sufficient representative data; complements adversarial tests,https://openai.com/index/deployment-simulation/
S08,Official evaluation guidance,OpenAI,A shared playbook for trustworthy third-party evaluations,2026-05,"Report claim, tasks, tested system, budget, elicitation, and validity checks",Expanded run metadata and harness reporting,Frontier evaluation focus; adapted to product evals,https://openai.com/index/trustworthy-third-party-evaluations-foundations/
S09,Official research,OpenAI,Improving instruction hierarchy in frontier LLMs,2026-03,Trust hierarchy improves steerability and prompt-injection robustness,Evidence-as-data rule and injection suite,Model training does not eliminate application-level risk,https://openai.com/index/instruction-hierarchy-challenge/
S10,Official security guidance,OpenAI,Designing AI agents to resist prompt injection,2026-03,Real attacks resemble social engineering in external content,Task-alignment security gate and dynamic injection cases,No perfect prompt-only defense,https://openai.com/index/designing-agents-to-resist-prompt-injection/
S11,Official research,OpenAI,Separating signal from noise in coding evaluations,2026-07,Benchmark defects can materially distort capability claims,Benchmark defect audit and human adjudication,Coding benchmark focus; principle generalized cautiously,https://openai.com/index/separating-signal-from-noise-coding-evaluations/
S12,Peer-reviewed research,Kumar et al.,SCULPT: Systematic Tuning of Long Prompts,2025,Hierarchical targeted prompt edits can preserve long-prompt integrity and improve stability,Modular prompt architecture and smallest-change repairs,Task/model-specific results,https://aclanthology.org/2025.acl-long.730/
S13,Peer-reviewed research,Liu et al.,Lost in the Middle,2024,Relevant information position can materially affect long-context use,Keep core rules lean/prominent; test Knowledge retrieval,Older model set; current models may improve,https://aclanthology.org/2024.tacl-1.9/
S14,Peer-reviewed benchmark,White et al.,LiveBench,2025,"Fresh, objective, contamination-limited tasks reduce benchmark leakage and judge dependence",Rotate holdouts and favor deterministic checks,"General capability benchmark, not Custom GPT specific",https://proceedings.iclr.cc/paper_files/paper/2025/hash/e4a46394ba5378b3f9a186a5b4c650d1-Abstract-Conference.html
S15,Peer-reviewed research,Shi et al.,Judging the Judges,2025,Position bias varies across judges/tasks and is not random,Blind labels; randomize/reverse order; report stability,Pairwise/listwise benchmark settings,https://aclanthology.org/2025.ijcnlp-long.18/
S16,Preprint,Zhao et al.,Bias in the Loop,2026,Repeated judge decisions and small prompt changes can alter conclusions,Repeat grading and use deterministic/human controls,Preprint; software-engineering domain,https://arxiv.org/abs/2604.16790
S17,Peer-reviewed benchmark,Zhang et al.,Agent Security Bench,2025,"Agent vulnerabilities span prompts, tools, memory, and mixed attacks",Agent security suite across lifecycle stages,Broad benchmark; defenses remain incomplete,https://proceedings.iclr.cc/paper_files/paper/2025/hash/5750f91d8fb9d5c02bd8ad2c3b44456b-Abstract-Conference.html
S18,Peer-reviewed benchmark,Evtimov et al.,WASP,2025,Realistic end-to-end web-agent prompt injections remain effective,Realistic multi-step injection tests,Web-agent environment may differ from Custom GPT,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1c9818387f5dd0a0bc151214660f059d-Abstract-Datasets_and_Benchmarks_Track.html
S19,Peer-reviewed research,Jia et al.,Task Shield,2025,Checking that actions serve the user task can reduce injection success while retaining utility,Six-question task-alignment gate before tool actions,Reported results are model/benchmark specific,https://aclanthology.org/2025.acl-long.1435/
